work_id,imprint_date,author,title,format,price,topic,popularity,key_scots,imprints,scots_names
446-oeconomy of love poetical essay,1736,"Armstrong, John, 1709-1779.",The oeconomy of love,8vo,NA,Literature,36,NA,London: printed for T. Cooper (T136229),NA
50260-plan of education by author of cyruss travels,1736,"Ramsay, Chevalier (Andrew Michael), 1686-1743.",Plan of education,12mo,Price from imprint: price 6d,Education,2,1,"London: printed for J. Roberts in Warwick Lane, and A. Dodd without Temple-Bar (T118821)","Roberts, J."
770-book keeping methodizd,1736,"Mair, John, 1702 or 1703-1769.","Book-keeping methodiz'd: or A methodical treatise of merchant-accompts, according to the Italian form",8vo,NA,Scientific Improvement,26,NA,"Edinburgh: Printed by T. and W. Ruddimans for the author, and sold by most booksellers in town and country (T167552)",NA
2511-history of london,1737,"Maitland, William, 1693?-1757.","Proposals for printing by subscription, the history, antiquities, and present state of the cities of London and Westminster, borough of Southwark, and parts contiguous in Middlesex and Surrey. In nine books. ... By William Maitland, .",2fo,NA,History,12,NA,London: NA (T171148),NA
38050-a poem to memory of right honourable lord talbot chancellor of great britain,1737,"Thomson, James, 1700-1748.",A poem,4to,Price from imprint: price 1s,Literature,2,1,"Edinburgh: printed for A. Millar, at Buchanan's Head, against St. Clement's Church in the Strand (T189305); London: printed for A. Millar, at Buchanan's Head, against St. Clement's Church in the Strand (T42566)","Millar, A."
1714-a journal of voyage from london to savannah in georgia in two parts,1738,"Whitefield, George, 1714-1770.",A journal of a voyage from Gibraltar to Georgia,12mo,NA,Literature,16,NA,"London: printed for James Hutton (N6908); London: printed for James Hutton (N6911); London: printed for T. Cooper, at the Globe in Pater-Noster Row (T17574); London: printed for James Hutton at the Bible and Sun next the Rose Tavern without Temple-Bar (T29202); London: printed for James Hutton at the Bible and Sun next the Rose Tavern without Temple-Bar (T29203)",NA
44510-an epistle to dr richard mead concerning epidemical diseases of virginia particularly pleurisy and peripneumony wherein is shewn surprising efficacy of seneca rattle-snake root in diseases owing to viscidity and coagulation of blood such as pleurisies and peripneumonies these being epidemick and very mortal in virginia and other colonies on continent of america and also lee-ward islands,1738,"Tennent, John, 1710-1748.",An epistle to Dr. Richard Mead,8vo,NA,Scientific Improvement,2,NA,"Edinburgh: printed by P. Matthie, and sold by most booksellers in town (T56712)",NA
4753-matho,1738,"Baxter, Andrew, 1686?-1750.",Matho,4to,NA,Philosophy,8,NA,Edinburgh: apud T. & W. Ruddimannos (T100524),NA
3553-a continuation of reverend mr whitefields journal from his arrival at savannah to his return to london,1739,"Whitefield, George, 1714-1770.",A continuation of the Reverend Mr. Whitefield's journal,12mo,NA,Literature,10,1,"London: printed for James Hutton; at the Bible and Sun, without Temple-Bar (T34024); London: printed for James Hutton, at the Bible and Sun, without Temple-Bar (T34025); London: printed for James Hutton, at the Bible and Sun, without Temple-Bar (T34033); London: Printed by W. Strahan, and sold by James Hutton, at the Bible and Sun, without Temple-Bar (T34034)","NA; Strahan, W."
41140-an essay on design and beauty philosophical poem,1739,"Leslie, Charles, active 1738-1743.",An essay on design and beauty,8vo,NA,Literature,2,1,"Edinburgh: printed by R. Fleming, for A. Kincaid, and sold at his shop, and by the other booksellers in town (T59357)","Kincaid, A."
46292-travels and adventures of edward brown formerly merchant in london,1739,"Campbell, John, 1708-1775.",Travels and adventures of Edward Brown,8vo,NA,Literature,2,NA,"London: printed by J. Applebee, for A. Bettesworth, and C. Hitch, at the Red-Lyon in Pater-Noster-Row; William Hinchliffe, at Dryden's-Head, under the Piazza of the Royal-Exchange; and Stephen Austen, at the Angel and Bible in St. Paul's Church-Yard (T144124)",NA
52050-treatise of human nature,1739,"Hume, David, 1711-1776.",A treatise of human nature,8vo,NA,Philosophy,2,1,"London: printed for John Noon, at the White-Hart, near Mercer's-Chapel, in Cheapside (T4002)","Longman, Thomas, 1699-1755,"
7976-a continuation of reverend mr whitefields journal from his arrival at london to his departure from thence on his way to georgia,1739,"Whitefield, George, 1714-1770.",A continuation of the Reverend Mr. Whitefield's journal,8vo,NA,Literature,6,NA,"London: printed for James Hutton, at the Bible and Sun, without Temple-Bar (N2513); London: printed for James Hutton (N28426); London: printed for James Hutton, at the Bible and Sun, without Temple-Bar (T34027); London: printed for James Hutton, at the Bible and Sun, without Temple-Bar (T34028); London: printed for James Hutton, at the Bible and Sun, without Temple-Bar (T34029)",NA
13570-an essay on regimen together with five discourses medical moral and philosophical serving to illustrate principles and theory of philosophical medicin and point out some of its moral consequences,1740,"Cheyne, George, 1671-1743.",An essay on regimen,8vo,NA,Scientific Improvement,4,1,"London: printed for C. Rivington; and J. Leake, in Bath (T203382); London: printed for C. Rivington, in St. Paul's Church-Yard, and J. Leake, Bookseller in Bath (T78855)","Leake, J.; NA"
20871-mum political ballad for present times,1740,"Leslie, Charles, active 1738-1743.","Mum. A political ballad, for the present times",2fo,NA,Literature,3,NA,"Edinburgh: printed, and sold by the book-sellers in town (T100457); London: printed for Thomas Robins in Fleetstreet (T170690)",NA
40370-an impartial enquiry into moral character of jesus christ wherein he is considered as philosopher in letter to friend,1740,"Turnbull, George, 1698-1748.",An impartial enquiry into the moral character of Jesus Christ,8vo,Price from imprint: price 1s,Philosophy,2,1,"London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane. Sold by A. Dodd without Temple-Bar, and E. Nutt at the Royal Exchange (T79306)","Roberts, J."
40371-principles of moral philosophy enquiry into wise and good government of moral world,1740,"Turnbull, George, 1698-1748.",The principles of moral philosophy,8vo,NA,Philosophy,2,1,"London: printed for John Noon, at the White Hart, near Mercers Chapel, in Cheapside (N20795); London: printed for the author, and sold by A. Millar, at Buchanan's Head, over aginst St. Clement's Church, in the Strand (T115835)","NA; Millar, A."
6112-a letter from rev george whitfield b,1740,"Whitefield, George, 1714-1770.",A letter from the Rev. Mr. George Whitefield to the religious societies,8vo,NA,Literature,7,1,"London: printed by W. Strahan, and sold at Mr. James Hutton's, at the Bible and Sun, without Temple-Bar, for the Benefit of the School lately erected among the Colliers in Kingswood, near Bristol (N2372); London: printed by W. Strahan, in the Year (T56372)","Strahan, W."
6600-a discourse concerning currencies of british plantations in america especially with regard to their paper money more particularly in relation to province of massachusetts-bay in new england,1740,"Douglass, William, 1691?-1752.",A discourse concerning the currencies of the British plantations in America,8vo,NA,Scientific Improvement,4,NA,"London: Printed for T. Cooper, at the Globe in Pater-noster-Row; R. Amey, in the Court of Requests; and Mrs. Nutt, at the Royal-Exchange (N571)",NA
14433-concise history of spanish america,1741,"Campbell, John, 1708-1775.",A concise history of the Spanish America,8vo,NA,History,4,NA,"London: printed for John Stagg in Westminster-Hall, and Daniel Browne at the Black Swan without Temple-Bar (T45467)",NA
14434-polite correspondence,1741,"Campbell, John, 1708-1775.",The polite correspondence,8vo,NA,Literature,4,1,"London: printed and sold by John Atkinson; Geo. Strahan; S. Birt; John Clark; J. Hodges, and T. Harris; [and 3 others lin London] (N62908)","Strahan, George"
15778-account of money received and disbursed for orphan-house in georgia,1741,"Whitefield, George, 1714-1770.",An account of money received and disbursed for the orphan-house in Georgia,8vo,NA,History,4,1,"Edinburgh: printed by T. Lumisden and J. Robertson, and sold at their printing-house, and by J. Traill (N9608); London: printed by W. Strahan for T. Cooper at the Globe in Pater-Noster-Row, and sold by R. Hett at the Bible and Crown in the Poultry (T17575)","NA; Strahan, W."
54553-a continuation of reverend mr whitefields journal from few days after his return to georgia to his arrival at falmouth on 11th of march 1741,1741,"Whitefield, George, 1714-1770.",A continuation of the Reverend Mr. Whitefield's journal,8vo,NA,Literature,2,1,London: printed by W. Strahan for R. Hett at the Bible and Crown in the Poultry and sold by T. Cooper at the Globe in Pater-Noster-Row (T57936),"Strahan, W."
6012-essays moral and political,1741,"Hume, David, 1711-1776.","Essays, moral and political",8vo,NA,Philosophy,5,1,"Edinburgh: printed by R. Fleming and A. Alison, for A. Kincaid Bookseller, and Sold at his Shop above the Cross (T4004)","Kincaid, A."
12372-a genealogical history of house of yvery in its different branches of yvery luvel perceval and gournay,1742,"Anderson, James, approximately 1680-1739.",A genealogical history of the House of Yvery,8vo,NA,History,4,NA,"London: NA (N48032); London: NA (N67130); London: printed for H. Woodfall, jun (T133377)",NA
22655-lives of admirals and other eminent british seamen,1742,"Campbell, John, 1708-1775.",Lives of the admirals,8vo,NA,History,3,NA,"London: printed by John Applebee, for J. and H. Pemberton, in Fleet-street, and T. Waller, in the Temple (T90051)",NA
39295-a course of lectures upon midwifery wherein theory and practice of that art are explained in clearest manner,1742,"Smellie, William, 1697-1763.",A cour]se of lectures upon midwifery,4to,NA,Scientific Improvement,2,NA,London: NA (N28206),NA
44511-physical enquiries discovering mode of translation in constitutions of northern inhabitants on going to and for some time after arriving in southern climates error of college of physicians in recommending vinegar to his majestys fleet in west-indies to prevent epidemic fever there so fatal to britons deadly effect of all acids in that case whether used for cure or prevention plain easy method both to prevent and cure that disease and barren state of useful physical knowledge as well as mercenary practice of physicians by impartial state of,1742,"Tennent, John, 1710-1748.",Physical enquiries,8vo,NA,Literature,2,2,"London: Printed by T. Gardner, near Temple Bar, and sold by Andrew Millar, bookseller, opposite St. Clement's Church in the Strand, and John Millan, near Wills's Coffee House, Charing Cross (T56405)","Millan, John; Millar, Andrew"
46291-a letter to friend in country on publication of thurloes state papers in which is contained impartial account of author and book and several particulars relating to british history are examined and set in true light,1742,"Campbell, John, 1708-1775.","A letter to a friend in the country, on the publication of Thurloe's state papers",8vo,Price from imprint: price 1s,History,2,1,London: printed for J. Roberts near the Oxford Arms in Warwick Lane (T104327); London: printed for J. Roberts near the Oxford Arms in Warwick Lane (T106271),"Roberts, J."
9228-natural method of cureing diseases of body and disorders of mind depending on body,1742,"Cheyne, George, 1671-1743.",The natural method of cureing the diseases of the body,8vo,NA,Scientific Improvement,5,1,"London: printed for Geo. Strahan, and John and Paul Knapton (N40505); London: printed for Geo. Strahan, at the Golden Ball in Cornhill, and John and Paul Knapton, at the Crown in Ludgate-Street (N4757); London: printed for Geo. Strahan, at the Golden Ball in Cornhill, and John and Paul Knapton, at the Crown in Ludgate-Street (T54047); London: printed for Geo. Strahan, at the Golden Ball in Cornhill, and John and Paul Knapton, at the Crown in Ludgate-Street (T143356)","Strahan, George"
108-grave poem,1743,"Blair, Robert, 1699-1746.",The grave. A poem,4to,NA,Literature,82,1,"London: printed for M. Cooper, at the Globe in Pater-Noster-Row (N18218); London: printed for M. Fenner , at the Turk's Head in Gracechurch-Street ; and sold by M. Cooper, at the Globe in Pater-Noster-Row (N604)","Cooper, M."
20781-dr cheynes account of himself and of his writings faithfully extracted from his various works,1743,"Cheyne, George, 1671-1743.",Dr. Cheyne's account of himself and of his writings,8vo,Price from imprint: price 1s,Scientific Improvement,3,NA,"London: printed and sold by J. Wilford, at the Three Flower-de-Luces, opposite to the Sessions-House, in the Old-Bailey (N1884); London: printed and sold by J. Wilford, at the Three Flower-de-Luces, opposite to the Sessions-House, in the Old-Bailey (T53592)",NA
35796-a letter from mr john willison minister at dundee to mr james fisher minister at glasgow containing serious expostulations with him concerning his unfair-dealing in his review of mr,1743,"Willison, John, 1680-1750.","^A letter from Mr. John Willison minister at Dundee, to Mr. James Fisher minister at Glasgow",8vo,NA,Literature,2,NA,"Edinburgh: printed by T. Lumisden and J. Robertson, and sold at their Printing-house, and by J. Traill (T180945); Edinburgh: [printed] by T. Lumisden and J. Robertson, and sold by [their] Printing-House in the Fish-market, and by [J. Traill] bookseller in the Parliament-Closs (T180949)",NA
44931-poems on several occasions by mr,1743,"Mallet, David, 1705?-1765.",Poems on several occasions,8vo,NA,Literature,2,1,"London: printed for A. Millar, opposite to Catharine-Street in the Strand (T100672)","Millar, A."
38879-an account of countries adjoining to hudsons bay in north-west part of america containing description of their lakes and rivers nature of soil and climates and their methods of commerce andc,1744,"Dobbs, Arthur, 1689-1765.",An account of the countries adjoining to Hudson's Bay,4to,NA,Scientific Improvement,2,NA,"London: Printed for J. Robinson, at the Golden Lion in Ludgate-Street (T90486); London: printed for J. Robinson, at the Golden Lion in Ludgate-Street (T90568)",NA
48472-an essay on comparative anatomy,1744,"Monro, Alexander, 1697-1767.",An essay on comparative anatomy,8vo,NA,Scientific Improvement,2,1,"London: printed for John Nourse, at the Lamb without Temple-Bar (T62571)","Nourse, John"
53822-present state of all nations containing geographical natural commercial and political history of all countries in known world,1744,"Smollett, Tobias George, 1721-1771.",The present state of all nations,8vo,NA,History,2,3,"London: printed for R. Baldwin, No. 47, Paternoster-Row; W. Johnston, No. 16, Ludgate-Street; S. Crowder, No. 12; and Robinson and Roberts, No. 25, Paternoster-Row (T55361)","Crowder, S.; Baldwin, R."
560-pleasures of imagination,1744,"Akenside, Mark, 1721-1770.",The pleasures of imagination,4to,NA,Literature,30,NA,London: printed for R. Dodsley at Tully's-Head in Pall-Mall (N11945); London: printed for R. Dodsley at Tully's Head in Pall-Mall (N67512); London: printed for R. Dodsley at Tully's-Head in Pall-Mall (T42493); London: printed for R. Dodsley at Tully's-Head in Pall-Mall (T54251); London: NA (T63072); London: printed for R. Dodsley at Tully's-Head in Pall-Mall (T76625); London: printed for R. Dodsley (T125874),NA
6039-general history of scotland,1744,"Guthrie, William, 1708-1770.","A general history of England, from the invasion of the Romans under Julius C©Œsar, to the late revolution in MDCLXXXVIII",2fo,NA,History,7,NA,"London: Printed by Daniel Browne, for T. Waller, at the Crown and Mitre, opposite to Fetter-lane, in Fleet-street (T138171)",NA
843-art of preserving health poem,1744,"Armstrong, John, 1709-1779.",The art of preserving health,4to,NA,Scientific Improvement,25,1,"London: printed for A. Millar (N55770); London: printed for A. Millar, opposite to Katharine-Street in the Strand (T22475); London: printed for A. Millar (T187239)","Millar, A."
672-tancred and sigismunda,1745,"Thomson, James, 1700-1748.",Tancred and Sigismunda. A tragedy,8vo,NA,Literature,28,1,"London: printed for A. Millar, opposite Katharine-Street in the Strand (T49863)","Millar, A."
7495-dialogues concerning education,1745,"Fordyce, David, 1711-1751.",Dialogues concerning education,8vo,NA,Education,6,NA,London: NA (N3227); London: NA (T116529),NA
10870-medicina britannica or treatise on such physical plants as are generally to be found in fields or gardens in great-britain containing particular account of their nature virtues and uses,1746,"Short, Thomas, 1690?-1772.",Medicina britannica,8vo,NA,Scientific Improvement,3,NA,"London: printed for R. Manby and H. Shute Cox, opposite the Old-Baily, on Ludgate-Hill (T139019)",NA
1681-britains remembrancer,1746,"Burgh, James, 1714-1775.",Britain's remembrancer,8vo,NA,Literature,16,1,"Edinburgh: London, printed: and reprinted at Edinburgh by Thomas Lumisden and John Robertson; and sold at their printing-house in the Fish-Market (T75058); London: Printed for George Frier (N15438); London: printed for M. Cooper, at the Globe in Pater-Noster-Row; and sold at the pamphlet-shops of London and Westminster (T75059)","NA; Cooper, M."
25236-alexis or young adventurer novel,1746,"Macdonald, Alexander, approximately 1700-approximately 1780.",Alexis,2fo,NA,Literature,3,NA,"Edinburgh: printed for A. Scott, near the Tolbooth (N15792); London: NA (T223249); London: printed for T. Cooper (T142818)",NA
14498-essays upon several subjects concerning british antiquities viz,1747,"Kames, Henry Home, Lord, 1696-1782.",Essays upon several subjects concerning British antiquities,8vo,NA,History,4,1,Edinburgh: printed for A. Kincaid (T60638),"Kincaid, A."
23202-thoughts on education tending chiefly to recommend to attention of public some particulars relating to that subject which are not generally considered with regard their importance deserves,1747,"Burgh, James, 1714-1775.",Thoughts on education,8vo,NA,Education,3,1,"Edinburgh: printed in the year (T174625); London: printed for G. Freer, at the Bible in Bell Yard, Temple-Bar; and sold by M. Cooper, at the Globe in Pater-Noster-Row (T50195)","NA; Cooper, M."
4819-amyntor and theodora or hermit,1747,"Mallet, David, 1705?-1765.",Amyntor and Theodora,12mo,NA,Literature,8,NA,"Edinburgh: printed for Paul Vaillant, in the Strand (T21859); London: printed for Paul Vaillant, in the Strand (T21858)",NA
56222-proofs of enquiry into homers life and writings translated into english,1747,"Blackwell, Thomas, 1701-1757.","Proofs of the Enquiry into Homer's life and writings, translated into English",8vo,Price from imprint: price 2s stitch'd [sn],Literature,2,NA,London: NA (T70413),NA
6100-thistle dispassionate examen of prejudice of englishmen in general to scotch nation,1747,"Mansfield, William Murray, Earl of, 1705-1793.",The thistle,8vo,NA,History,7,NA,"London: printed for H. Carpenter (T126500); London: printed for H. Carpenter (T133395); London: printed for H. Carpenter, in Fleetstreet (T133396); London: NA (T133407); London: printed for H. Carpenter, in Fleetstreet (T133408); London: printed for H. Carpenter, in Fleetstreet (T50150)",NA
6883-history of popes from foundation of see of rome to present time,1747,"Bower, Archibald, 1686-1766.","Proposals for printing by subscription, The history of the popes, from the foundation of the See of Rome, to the present time. By Archibald Bower, .",4to,NA,History,6,NA,London: NA (T142660),NA
213-roderick random,1748,"Smollett, Tobias George, 1721-1771.",The adventures of Roderick Random,12mo,NA,Literature,55,NA,"London: printed for J. Osborn (N3818); London: printed for J. Osborn in Pater-Noster-Row (N42539); London: printed for J. Osborn, in Pater-Noster-Row (T55366); London: printed for J. Osborn in Pater-Noster-Row (T55367)",NA
22697-an account of sir isaac newtons philosophical discoveries in four books,1748,"MacLaurin, Colin, 1698-1746.",An account of Sir Isaac Newton's philosophical discoveries,4to,NA,Scientific Improvement,3,3,"London: printed for the author's children: and sold by A. Millar, and J. Nourse, over against Catharine-Street in the Strand; G. Hamilton and J. Balfour, and A. Kincaid at Edinburgh; J. Barry at Glasgow, and J. Smith at Dublin (T81914)","Kincaid, A.; Millar, A.; Nourse, J."
24550-philosophical essays concerning human understanding,1748,"Hume, David, 1711-1776.",Philosophical essays concerning human understanding,12mo,NA,Philosophy,3,1,"London: printed for A. Millar, opposite Katharine-Street, in the Strand (T4022)","Millar, A."
4056-history of rebellion 1745 and 1746,1748,"Henderson, Andrew, active 1734-1775.","The history of the rebellion, 1745 and 1746",8vo,NA,History,9,NA,"Edinburgh: Printed at Edinburgh. And sold by booksellers there, and by R. Griffiths, bookseller and publisher, at the Dunciad in Ludgate-street (N17924); Edinburgh: Printed at Edinburgh. And sold by the booksellers there, and by R. Griffiths, at the Dunciad in Ludgate Street [London] (N66673); Edinburgh: Printed at Edinburgh. And sold by the booksellers there, and by R. Griffiths, Bookseller and Publisher, at the Dunciad in Ludgate Street [London] (T60637); London: reprinted from the Edinburgh edition, and sold by R. Griffiths, Bookseller and Publisher, at the Dunciad in Ludgate-Street (N246)",NA
51502-cornutor of seventy-five being genuine narrative of life adventures and amours of don ricardo honeywater fellow of royal college of physicians at madrid salamanca and toledo and president of academy of sciences in lapland,1748,"Douglass, William, 1691?-1752.",The cornutor of seventy-five,8vo,NA,Literature,2,NA,"London: Printed for J. Codham, near St. Paul's (T34187); London: printed for J. Cobham, near St. Paul's (T61804)",NA
56221-letters concerning mythology by thomas blackwell j,1748,"Blackwell, Thomas, 1701-1757.",Letters concerning mythology,8vo,NA,History,2,NA,London: NA (T64309),NA
5809-a treatise of algebra in three parts,1748,"MacLaurin, Colin, 1698-1746.",A treatise of algebra,8vo,NA,Scientific Improvement,7,2,"London: printed for A. Millar, and J. Nourse, opposite to Catherine-Street, in the Strand (T93641)","Millar, A.; Nourse, J."
8974-castle of indolence allegorical poem,1748,"Thomson, James, 1700-1748.",The castle of indolence,4to,NA,Literature,5,1,"London: printed for A. Millar, over-against Catharine-Street, in the Strand (N66096); London: printed for A. Millar, over against Catherine-Street, in the Strand (T20324); London: printed for A. Millar, over-against Catherine-Street, in the Strand (T100046)","Millar, A."
56585-munchers and guzlers diarythe wits critics conundrumists farmers petit-maitres pocket companion jacobites whigs freethinkers methodists breviary in word universal almanack by noureddin alraschin formerly of damascus now of datchet-bridge,1749,"Armstrong, John, 1709-1779.",The muncher's and guzler's diary,8vo,Price from imprint: price 6d,Scientific Improvement,2,2,"London: printed for R. Baldwin, at the Rose in Pater-Noster-Row (T117262)","Baldwin, R."
24430-a cordial for low-spirits being collection of valuable tracts by thomas gordon,1750,"Gordon, Thomas, -1750.",A cordial for low-spirits,12mo,NA,Scientific Improvement,3,NA,"London: printed for, and sold by R. Griffiths, at the Dunciad, in St. Paul's Church-Yard (T34174)",NA
38051-dramatic works of james thomson,1750,"Thomson, James, 1700-1748.",The dramatic works of James Thomson. .,12mo,NA,Literature,2,1,"London: printed for A. Millar, in the Strand (N54708)","Millar, A."
5899-reflexions on sources of incredulity with regard to religion,1750,"Forbes, Duncan, 1685-1747.",Reflexions on the sources of incredulity with regard to religion,8vo,NA,Philosophy,7,4,"Edinburgh: printed by Sands, Murray, and Cochran, for G. Hamilton and J. Balfour (T55403); Edinburgh: printed by Sands, Murray, and Cochran, for G. Hamilton and J. Balfour (T55404); Edinburgh: printed for G. Hamilton and J. Balfour (T103503); Edinburgh: printed for G. Hamilton and J. Balfour (T116431); London: printed by W. Strahan, for D. Wilson, at Plato's Head, near Round-Court, in the Strand (T109826)","Hamilton, G.; Cochran,; Balfour, J.; Sands,; Hamilton, G.; Balfour, J.; Cochran,; Sands,; Hamilton, G.; Balfour, J.; Strahan, W.; Wilson, D."
8975-poems,1750,"Thomson, James, 1700-1748.",Poems on several occasions,8vo,NA,Literature,5,1,"London: printed for A. Millar, opposite Catherine-Street, in the Strand (T100063)","Millar, A."
947-works of james thomson with his last corrections and improvements,1750,"Thomson, James, 1700-1748.",The works of James Thomson,12mo,NA,Literature,23,1,"London: printed for A. Millar, opposite to Katherine-Street in the Strand (N28109)","Millar, A."
10061-a new treatise on diseases of horses wherein what is necessary to knowledge of horse cure of his diseases and other matters relating to that subject are fully discussed in plain and easy manner from many years practice and experience,1751,"Gibson, W. (William), 1680?-1750.",A new treatise on the diseases of horses,4to,NA,Scientific Improvement,5,1,"London: printed for A. Millar, opposite to Catharine-Street, in the Strand (T94737)","Millar, A."
35855-an essay on vital and other involuntary motions of animals by robert whytt m,1751,"Whytt, Robert, 1714-1766.",An essay on the vital and other involuntary motions of animals,8vo,NA,Scientific Improvement,2,1,"Edinburgh: printed by Hamilton, Balfour, and Neill (T55938)","Hamilton,"
46585-essays on principles of morality and natural religion in two parts,1751,"Kames, Henry Home, Lord, 1696-1782.",Essays on the principles of morality and natural religion,8vo,NA,Philosophy,2,2,"Edinburgh: printed by R. Fleming, for A. Kincaid and A. Donaldson (T70373)","Kincaid, A.; Donaldson, A."
50259-philosophical principles of natural and revealed religion unfolded in geometrical order by chevalier ramsay author of travels of cyrus,1751,"Ramsay, Chevalier (Andrew Michael), 1686-1743.",The philosophical principles of natural and revealed religion,4to,NA,Philosophy,2,5,"London: Sold by J. & P. Knapton, in Ludgate-street; T. Longman, C. Hitch, in Pater-noster-row; J. Ward, near the Royal-exchange; A. Millar, J. Nourse, St. Paterson, D. Wilson, in the Strand; J. Millan opposite to the Admiralty-Office, & R. Dodsley in Pall-Mall. Edinburgh: Sold by Mess. Kincaid, Hamilton, Gordon, & Ross. Dublin: Sold by J. Smith, & R. Main (N12456)","Longman, T.; Millan, J.; Wilson, D.; Millar, A.; Nourse, J."
12795-an essay on virtues of lime water in cure of stone,1752,"Whytt, Robert, 1714-1766.",An essay on the virtues of lime-water in the cure of the stone,12mo,NA,Scientific Improvement,4,1,"Edinburgh: printed by Hamilton, Balfour, and Neill (T64138)","Hamilton,"
15315-a description of may from gawin douglas bishop of dunkeld by francis fawkes am,1752,"Douglas, Gawin, 1474?-1522.",A description of May,4to,NA,Literature,4,1,"London: Printed for J. Whiston and B. White, in Fleet-Street; A. Millar, in the Strand; and R. Dodsley, in Pall-Mall (N8503); London: Printed for Lockyer Davis, at Lord Bacon's Head in Fleet-Street (N8504); London: printed for J. Whiston and B. White, in Fleet-Street; A. Millar, in the Strand; and R. Dodsley, in Pall-Mall (T31678)","Millar, A.; NA"
24551-political discourses by david hume,1752,"Hume, David, 1711-1776.",Political discourses,12mo,NA,Philosophy,3,2,"Edinburgh: printed by R. Fleming, for A. Kincaid and A. Donaldson (T4007); Edinburgh: printed by R. Fleming, for A. Kincaid and A. Donaldson (T83618)","Donaldson, A.; Kincaid, A."
25170-an essay on external use of water in letter to,1752,"Smollett, Tobias George, 1721-1771.",An essay on the external use of water,4to,NA,Scientific Improvement,3,2,"London: printed for M. Cooper, in Pater-Noster-Row; and sold by D. Wilson in the Strand, and by Mess. Leake, and Frederick at Bath (T55293)","Cooper, M.; Wilson, D."
38053-works of james thomson in four volumes complete,1752,"Thomson, James, 1700-1748.",The works of James Thomson,12mo,NA,Literature,2,1,"London: printed for A. Millar, opposite to Katherine-Street in the Strand (T9772)","Millar, A."
44367-a description of saint kilda giving account of its situation,1752,"Buchan, Alexander, -1730.",A description of Saint Kilda,8vo,NA,Scientific Improvement,2,NA,Edinburgh: NA (T90139),NA
46290-a full and particular description of highlands of scotland by john campbell,1752,"Campbell, John, 1708-1775.","A full and particular description of the highlands of Scotland, ... By John Campbell",8vo,NA,History,2,NA,London: printed for the Author (T90050),NA
47763-history of frederick king of sweden containing his wars in germany brabant italy and flanders and his conduct under charles xii,1752,"Henderson, Andrew, active 1734-1775.",The history of Frederick King of Sweden,8vo,NA,History,2,1,"London: printed for and sold by J. Robinson, at the Golden-Lyon in Ludgate-Street; J. Millan, opposite the Admiralty-Office; at the Royal-Exchange, and in Westminster-Hall (T167560); London: printed for and sold by J. Robinson; J. Millan; at the Royal-Exchange, and in Westminster-Hall (T137881)","Millan, J."
5054-observations on diseases of army,1752,"Pringle, John, Sir, 1707-1782.",Observations on the diseases of the army,8vo,NA,Scientific Improvement,8,2,"London: printed for A. Millar, and D. Wilson, both in the Strand; and T. Payne, next the Mews-Gate, near St. Martin's Church (T55665)","Millar, A.; Wilson, D."
820-treatise on theory and practice of midwifery,1752,"Smellie, William, 1697-1763.",A treatise on the theory and practice of midwifery,8vo,NA,Scientific Improvement,25,2,London: printed for D. Wilson and T. Durham (T152322); London: printed for D. Wilson (T141453),"Durham, T.; Wilson, D.; Wilson, D."
11930-an expostulatory letter addressed to nicholas lewis count zinzendorff and lord advocate of unitas fratrum by g,1753,"Whitefield, George, 1714-1770.","An expostulatory letter, addressed to Nicholas Lewis, Count Zinzendorff, and Lord Advocate of the Unitas Fratrum",8vo,NA,Scientific Improvement,3,NA,"London: printed for G. Keith , at the Bible in Grace-Church-Street ; J. Oswald , in the 'poultry ; and sold at the Tabernacle-House, near Moorfields (N16889); London: printed for G. Keith, at the Bible in Grace-Church-Street; J. Oswald, in the Poultry; and sold at the Tabernacle-House, near Moorfields (T14116)",NA
15346-a treatise on scurvy in three parts,1753,"Lind, James, 1716-1794.",A treatise of the scurvy,8vo,NA,Scientific Improvement,4,4,"Edinburgh: printed by Sands, Murray, and Cochran. For A. Kincaid & A. Donaldson (N13974); Edinburgh: printed by Sands, Murray, and Cochran. For A. Millar, in the Strand, London (T45786)","Sands,; Kincaid, A.; Cochran,; Donaldson, A.; Sands,; Cochran,; Millar, A."
19798-ruins of palmyra,1753,"Wood, Robert, 1717?-1771.",Les ruines de Palmyre,2fo,NA,History,3,1,London: chez A. Millar (T136866); London: NA (T137525); London: printed in the year (T137526),"Millar, A.; NA"
2066-ferdinand count fathom,1753,"Smollett, Tobias George, 1721-1771.",The adventures of Ferdinand Count Fathom,12mo,NA,Literature,14,1,"London: printed for W. Johnston, at the Golden Ball in St. Paul's Church-Yard (T55294); London: printed for T. Johnson, at the Golden Ball in St. Paul's Church-Yard (T55295)","Johnston, W.; NA"
22186-day of judgment poem,1753,"Ogilvie, John, 1732-1813.",The day of judgment,8vo,NA,Literature,3,1,"Edinburgh: printed by Hamilton, Balfour, and Neill (T8396)","Hamilton,"
42073-dissertation on numbers of mankind in antient and modern times,1753,"Wallace, Robert, 1697-1771.",A dissertation on the numbers of mankind in antient and modern times,8vo,NA,History,2,2,Edinburgh: printed for G. Hamilton and J. Balfour (T145322),"Hamilton, G.; Balfour, J."
